time,amplitude
3.967935871743486498e-01,9.943502722294158547e-01
3.987975951903807159e-01,9.943510488928966051e-01
4.008016032064127820e-01,9.943484207043785661e-01
4.028056112224448482e-01,9.943470747988781833e-01
4.048096192384769143e-01,9.944193983030844564e-01
4.068136272545089804e-01,9.938824275062742020e-01
4.088176352705410466e-01,9.965604374314543934e-01
4.108216432865731127e-01,9.797968471095959142e-01
4.128256513026051788e-01,9.882598487274324439e-01
4.148296593186372450e-01,9.766459661459903074e-01
4.168336673346693111e-01,9.778153679280464639e-01
4.188376753507013772e-01,9.772828745876228629e-01
4.208416833667334433e-01,9.774258973682744545e-01
4.228456913827655095e-01,9.773975682100959350e-01
4.248496993987975756e-01,9.774012426247741248e-01
4.268537074148296417e-01,9.774006443983578318e-01
4.288577154308617079e-01,9.774064747359337835e-01
4.308617234468937740e-01,9.773716422043599028e-01
4.328657314629258401e-01,9.775204150624416943e-01
4.348697394789579063e-01,9.803530105057205457e-01
4.368737474949899169e-01,9.883444250475594828e-01
4.388777555110219830e-01,9.366635776797251900e-01
4.408817635270540491e-01,1.002689486247257733e+00
4.428857715430861153e-01,9.923441681375115841e-01
4.448897795591181814e-01,9.947051671098272596e-01
4.468937875751502475e-01,9.943146520566910063e-01
4.488977955911823137e-01,9.943469432386723428e-01
4.509018036072143798e-01,9.943529544583110669e-01
4.529058116232464459e-01,9.943494551554220573e-01
4.549098196392785121e-01,9.943504666795579539e-01
4.569138276553105782e-01,9.943502530662688965e-01
4.589178356713426443e-01,9.943502845615846963e-01
4.609218436873747105e-01,9.943502830487267463e-01
4.629258517034067766e-01,9.943502821985996665e-01
4.649298597194388427e-01,9.943502825662137168e-01
4.669338677354709088e-01,9.943502824693281061e-01
4.689378757515029750e-01,9.943502824882086699e-01
4.709418837675350411e-01,9.943502824858025946e-01
4.729458917835671072e-01,9.943502824858012623e-01
4.749498997995991734e-01,9.943502824859055123e-01
4.769539078156312395e-01,9.943502824858680977e-01
4.789579158316633056e-01,9.943502824858770905e-01
4.809619238476953718e-01,9.943502824858756473e-01
4.829659318637274379e-01,9.943502824858757583e-01
4.849699398797595040e-01,9.943502824858755362e-01
4.869739478957915702e-01,9.943502824858758693e-01
4.889779559118235808e-01,9.943502824858758693e-01
4.909819639278556469e-01,9.943502824858758693e-01
4.929859719438877130e-01,9.943502824858756473e-01
4.949899799599197792e-01,9.943502824858757583e-01
4.969939879759518453e-01,9.943502824858767575e-01
4.989979959919839114e-01,9.943502824858689859e-01
5.010020040080159776e-01,9.943502824859072886e-01
5.030060120240480437e-01,9.943502824857721745e-01
5.050100200400801098e-01,9.943502824860234179e-01
5.070140280561121759e-01,9.943502824871034429e-01
5.090180360721442421e-01,9.943502824728839284e-01
5.110220440881763082e-01,9.943502825608597773e-01
5.130260521042083743e-01,9.943502821688300353e-01
5.150300601202404405e-01,9.943502834155916181e-01
5.170340681362725066e-01,9.943502820316083568e-01
5.190380761523045727e-01,9.943502642297005201e-01
5.210420841683366389e-01,9.943504349953919963e-01
5.230460921843687050e-01,9.943494787564759463e-01
5.250501002004007711e-01,9.943534195230899764e-01
5.270541082164328373e-01,9.943424505557039161e-01
5.290581162324649034e-01,9.943425872387248177e-01
5.310621242484969695e-01,9.945955250681265403e-01
5.330661322645290356e-01,9.923085882757574083e-01
5.350701402805611018e-01,9.883313589646538500e-01
5.370741482965931679e-01,9.882201929153424658e-01
5.390781563126252340e-01,9.939253473733010713e-01
5.410821643286573002e-01,9.942867740180370006e-01
5.430861723446893663e-01,9.943903258645013787e-01
5.450901803607214324e-01,9.943384482265544833e-01
5.470941883767534986e-01,9.943528303035431559e-01
5.490981963927855647e-01,9.943498956710183911e-01
5.511022044088176308e-01,9.943503037782360776e-01
5.531062124248496970e-01,9.943502921063426259e-01
5.551102204408817631e-01,9.943502756371940254e-01
5.571142284569138292e-01,9.943502983909111581e-01
5.591182364729458953e-01,9.943502208785983676e-01
5.611222444889779615e-01,9.943504570810460796e-01
5.631262525050100276e-01,9.943502426249231085e-01
5.651302605210419827e-01,9.943464871778193714e-01
5.671342685370740488e-01,9.943807406173311714e-01
5.691382765531061150e-01,9.941926961826652587e-01
5.711422845691381811e-01,9.949542634063702762e-01
5.731462925851702472e-01,9.892661540172051904e-01
5.751503006012023134e-01,9.886959285104928163e-01
5.771543086172343795e-01,9.896653888989391801e-01
5.791583166332664456e-01,9.949709938824511379e-01
5.811623246492985118e-01,9.942083242820368705e-01
5.831663326653305779e-01,9.943738760861300374e-01
5.851703406813626440e-01,9.943482579095972440e-01
5.871743486973947102e-01,9.943494553084082366e-01
5.891783567134267763e-01,9.943564462080606292e-01
5.911823647294588424e-01,9.943138208549715529e-01
5.931863727454909085e-01,9.945110822429152897e-01
5.951903807615229747e-01,9.938438068245721846e-01
5.971943887775550408e-01,9.948877833415041838e-01
5.991983967935871069e-01,9.777200858664891747e-01
6.012024048096191731e-01,9.872538243562000160e-01
6.032064128256512392e-01,9.758047007434018649e-01
6.052104208416833053e-01,9.777108687406032006e-01
6.072144288577153715e-01,9.773676867475773467e-01
6.092184368737474376e-01,9.774014097314654981e-01
